SESSION NAME:	A GREAT TV SHOW
SAMPLE RATE:	48000,000000
BIT DEPTH:	16-bit
SESSION START TIMECODE:	10:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	10
# OF AUDIO CLIPS:	621
# OF AUDIO FILES:	167


T R A C K  L I S T I N G
TRACK NAME:	A1
COMMENTS:	
USER DELAY:	0 Samples
STATE: Hidden Inactive 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	77      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-07.A1	10:49:51:08   	10:50:15:01   	00:00:23:18   	Unmuted
1       	78      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-09.A1	10:50:15:01   	10:50:57:05   	00:00:42:04   	Unmuted
1       	79      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-06.A1	10:50:57:05   	10:51:07:16   	00:00:10:11   	Unmuted
1       	80      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-05.A1	10:51:07:16   	10:51:15:06   	00:00:07:15   	Unmuted
1       	81      	C0019.new.02-03.A3            	10:51:15:06   	10:51:25:11   	00:00:10:05   	Unmuted
1       	82      	HISTORI.CS.new.01-01.A1       	10:51:25:11   	10:52:02:21   	00:00:37:10   	Unmuted


TRACK NAME:	A2
COMMENTS:	
USER DELAY:	0 Samples
STATE: Hidden Inactive 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	Story_znelka_HD.mov.new.01-01.A2	10:00:00:00   	10:00:14:16   	00:00:14:16   	Unmuted
1       	2       	ctar141201_0044.new.01-01.A2  	10:00:14:16   	10:00:20:12   	00:00:05:21   	Unmuted
1       	3       	ctar141201_0044.new.01-02.A2  	10:00:20:12   	10:00:56:15   	00:00:36:03   	Unmuted
1       	4       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-03.A2	10:00:56:15   	10:01:57:14   	00:01:00:24   	Unmuted
1       	5       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-01.A2	10:01:57:14   	10:02:01:09   	00:00:03:20   	Unmuted
1       	6       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.01-02.A2	10:02:01:09   	10:02:17:20   	00:00:16:11   	Unmuted
1       	7       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.02-01.A2	10:02:17:20   	10:03:07:14   	00:00:49:19   	Unmuted
1       	8       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.03-01.A2	10:03:07:14   	10:03:15:04   	00:00:07:15   	Unmuted
1       	9       	story_cs_CH09_RK02_3_4_2018_16_10_1.new.04-01.A2	10:03:15:04   	10:03:51:01   	00:00:35:22   	Unmuted
1       	10      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.04-02.A2	10:03:51:01   	10:04:52:09   	00:01:01:08   	Unmuted
1       	11      	ctar140530_0038_18.new.02-01.A2	10:04:52:09   	10:05:00:03   	00:00:07:19   	Unmuted
1       	12      	ctar140530_0038_18.new.01-02.A2	10:05:00:03   	10:05:15:08   	00:00:15:05   	Unmuted
1       	13      	ctar140530_0038_18.new.01-01.A2	10:05:15:08   	10:05:22:11   	00:00:07:03   	Unmuted
1       	14      	ctar140530_0038_18.new.02-02.A2	10:05:22:11   	10:05:36:24   	00:00:14:13   	Unmuted
1       	15      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-01.A2	10:05:36:24   	10:05:40:03   	00:00:03:04   	Unmuted
1       	16      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-06.A2	10:05:40:03   	10:06:54:22   	00:01:14:19   	Unmuted
1       	17      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-02.A2	10:06:54:22   	10:07:38:07   	00:00:43:10   	Unmuted
1       	18      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-04.A2	10:07:38:07   	10:08:44:04   	00:01:05:22   	Unmuted
1       	19      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-05.A2	10:08:44:04   	10:09:53:14   	00:01:09:10   	Unmuted
1       	20      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-03.A2	10:09:53:14   	10:10:43:02   	00:00:49:13   	Unmuted
1       	21      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.05-07.A2	10:10:43:02   	10:12:10:09   	00:01:27:07   	Unmuted
1       	22      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-01.A2	10:12:10:09   	10:12:24:15   	00:00:14:06   	Unmuted
1       	23      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-04.A2	10:12:24:15   	10:13:30:07   	00:01:05:17   	Unmuted
1       	24      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-03.A2	10:13:30:07   	10:14:11:00   	00:00:40:18   	Unmuted
1       	25      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-05.A2	10:14:11:00   	10:15:22:02   	00:01:11:02   	Unmuted
1       	26      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.06-02.A2	10:15:22:02   	10:16:02:11   	00:00:40:09   	Unmuted
1       	27      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.07-01.A2	10:16:02:11   	10:16:03:06   	00:00:00:20   	Unmuted
1       	28      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.07-02.A2	10:16:03:06   	10:17:15:24   	00:01:12:18   	Unmuted
